Nome,Preco,Imagem,Categoria
Ração Seca Nutrilus Pro+ Frango & Carne para Cães Adultos de Raças Médias e Grandes,175.86,https://www.petlove.com.br/images/products/267509/product/%2820%29_Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro__Frango___Carne_para_C%C3%A3es_Adultos_2.jpg?1680129321,Cachorro
Ração Seca True para Cães Adultos Raças Pequenas,250.67,https://www.petlove.com.br/images/products/237742/product/Ra%C3%A7%C3%A3o_Seca_True_para_C%C3%A3es_Adultos_Ra%C3%A7as_Pequenas_2638251.jpg?1627768949,Cachorro
Ração Premier Golden Formula Cães Adultos Frango e Arroz Mini Bits,150.20,https://www.petlove.com.br/images/products/265990/product/Ra%C3%A7%C3%A3o_Seca_PremieR_Pet_Golden_Formula_C%C3%A3es_Adultos_Frango_e_Arroz_Mini_Bits_-_15_Kg_31021721-3_1.jpg?1674059936,Cachorro
Tapete Higiênico Meau para Cães,74.32,https://www.petlove.com.br/images/products/265294/product/Tapete_Higi%C3%AAnico_Me.Au_Pet_para_C%C3%A3es_10.jpg?1669132800,Cachorro
Tapete Higiênico Meau Cheirinho Cítrico Slim para Cães,68.72,https://www.petlove.com.br/images/products/270770/product/_0009_2492322_Meau_Slim_C%C3%ADtrico_%282%29.jpg?1689187724,Cachorro
Ração Seca Liva Super Premium para Cães Adultos de Raças Médias,138.47,https://www.petlove.com.br/images/products/273553/product/31027528602_Ra%C3%A7%C3%A3o_Seca_Liva_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_M%C3%A9dia_%281%29.jpg?1695047414,Cachorro
Ração Seca Nutrilus Pro+ Frango & Carne para Cães Adultos de Raças Pequenas,129.52,https://www.petlove.com.br/images/products/267815/product/Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro__Frango___Carne_para_C%C3%A3es_Adultos_de_Ra%C3%A7as_Pequenas_!.jpg?1681215307,Cachorro
Ração Seca True para Cães Senior Raças Pequenas,268.52,https://www.petlove.com.br/images/products/271802/product/31027527536_True_S%C3%AAnior_Porte_Pequeno_10_1_kg_%281%29_2.jpg?1692218256,Cachorro
Brinquedo Chalesco Pelúcia Macaco,24.56,https://www.petlove.com.br/images/products/284416/product/2.jpg?1720807280,Cachorro
Comedouro e Bebedouro Meau Duplo Inox para Cães e Gatos,23.92,https://www.petlove.com.br/images/products/251764/product/Comedouro_e_Bebedouro_Me.Au_Pet_Duplo_Inox_para_C%C3%A3es_e_Gatos_-_236_mL_2765011.jpg?1642454642,Cachorro
