Nome,Preco,Imagem,Categoria
Ração Seca Nutrilus Pro+ Frango para Gatos Adultos Castrados,141.86,https://www.petlove.com.br/images/products/250520/product/2661132_FRENTE.jpg?1635792614,Gato
Areia Sanitária Meau Grãos Finos para Gatos,15.22,https://www.petlove.com.br/images/products/277205/product/2492359_Areia_Sanit%C3%A1ria_Meau_Gr%C3%A3os_Finos_para_Gatos__%281%29.jpg?1706905879,Gato
Granulado de Madeira Meau para Gatos,95.92,https://www.petlove.com.br/images/products/250924/product/_2679309_Granulado-Madeira-20.jpg?1636403458,Gato
Areia Sanitária Kelco Pipicat Multicat - 12 Kg,44.91,https://www.petlove.com.br/images/products/233440/product/Areia_Sanit%C3%A1ria_Kelco_Pipicat_Multicat_-_12_Kg_3105886.jpg?1627748509,Gato
Areia Sanitária Branca Meau Grãos Minerais para Gatos,13.14,https://www.petlove.com.br/images/products/284602/product/7899973905893.jpg?1721309243,Gato
Ração Seca Nutrilus Pro+ Carne para Gatos Adultos,129.96,https://www.petlove.com.br/images/products/250518/product/2661128_FRENTE.jpg?1635791683,Gato
Areia Sanitária Meau Grãos Médios para Gatos,45.82,https://www.petlove.com.br/images/products/250531/product/2554160.jpg?1635795676,Gato
Ração Seca Nutrilus Pro+ Salmão para Gatos Adultos Castrados,139.12,https://www.petlove.com.br/images/products/268656/product/Ra%C3%A7%C3%A3o_Seca_Nutrilus_Pro__Salm%C3%A3o_para_Gatos_Adultos_Castrados_2661133.jpg?1684430759,Gato
Areia Sanitária Mineral Meau Super Seca para Gatos,45.82,https://www.petlove.com.br/images/products/277257/product/2752939_Areia_Sanit%C3%A1ria_Mineral_Meau_Super_Seca_para_Gatos_%281%29.png?1706906600,Gato
Areia Sanitária Meau Grãos Finos Perfume Floral para Gatos,58.40,https://www.petlove.com.br/images/products/250534/product/2554197.jpg?1635796056,Gato
